src_id,tgt_id,stratum,screening_score,N_stratum,n_stratum,weight,in_pilot
5.5-2,5.2.2-3,M,0.6896135265700483,1490,200,7.45,False
5.3-14,5.1.3-4,M,0.6891304347826088,1490,200,7.45,False
5.6-5,5.2.2-6,M,0.6882850241545895,1490,200,7.45,False
5.4-3,5.2.4-1.2,M,0.6881642512077295,1490,200,7.45,False
5.12-2,5.1.3-1.2,M,0.687157809983897,1490,200,7.45,False
5.3-6B,5.1.4-1,M,0.6861916264090177,1490,200,7.45,False
5.3-8,5.2.3-2,M,0.6853864734299517,1490,200,7.45,False
5.5-6,5.1.2-4,M,0.6849436392914654,1490,200,7.45,False
5.5-2,5.2.5-3,M,0.6843800322061192,1490,200,7.45,False
5.3-14,5.2.3-1,M,0.6835346215780997,1490,200,7.45,False
5.12-1,5.4.1-1,M,0.682206119162641,1490,200,7.45,False
5.6-3,5.2.3-2.1,M,0.6818840579710145,1490,200,7.45,False
5.1-5,5.1.3-1,M,0.6804750402576489,1490,200,7.45,False
5.3-14,5.1.2-4,M,0.6785426731078905,1490,200,7.45,False
5.5-8,5.4.2-4,M,0.6766103059581321,1490,200,7.45,False
5.3-6B,5.2.1-2,M,0.6758856682769727,1490,200,7.45,False
5.5-2,5.1.1-2.1,M,0.6752415458937199,1490,200,7.45,False
5.1-4,5.2.3-2,M,0.6749597423510467,1490,200,7.45,False
5.5-2,5.2.1-4.1,M,0.6739533011272141,1490,200,7.45,False
5.7-2,5.2.3-4,M,0.6722624798711755,1490,200,7.45,False
5.7-2,5.1.4-5,M,0.6722222222222222,1490,200,7.45,False
5.12-1,5.4.2-1,M,0.6694847020933977,1490,200,7.45,False
5.3-4B,5.3.1-2.1,M,0.6679951690821256,1490,200,7.45,False
5.10-1,5.1.4-4,M,0.6654186795491144,1490,200,7.45,False
5.1-2,5.2.4-3,M,0.6643719806763285,1490,200,7.45,False
5.3-10,5.2.4-1,M,0.6641304347826087,1490,200,7.45,False
5.2-3,5.2.2-5,M,0.663888888888889,1490,200,7.45,False
5.12-2,5.1.3-3,M,0.6630032206119163,1490,200,7.45,False
5.11-1,5.3.1-3,M,0.6618357487922705,1490,200,7.45,False
5.7-1,5.1.4-4,M,0.6611111111111112,1490,200,7.45,False
5.5-1,5.2.3-1,M,0.6605072463768116,1490,200,7.45,False
5.3-10,5.2.2-4,M,0.6591384863123994,1490,200,7.45,False
5.10-1,5.4.2-1,M,0.6580917874396135,1490,200,7.45,True
5.5-8,5.2.1-3,M,0.6572866344605475,1490,200,7.45,False
5.13-1A,5.2.3-2.1,M,0.6570450885668278,1490,200,7.45,False
5.1-4,5.1.2-6,M,0.6562801932367149,1490,200,7.45,False
5.6-9,5.1.2-5.1,M,0.6561594202898551,1490,200,7.45,False
5.7-2,5.1.3-1.2,M,0.6560789049919485,1490,200,7.45,False
5.5-5,5.4.2-4,M,0.6559581320450885,1490,200,7.45,False
5.3-4B,5.1.3-3,M,0.654951690821256,1490,200,7.45,False
5.3-4B,5.2.2-2,M,0.6546296296296296,1490,200,7.45,False
5.1-3,5.1.3-1.2,M,0.6539855072463767,1490,200,7.45,False
5.1-4,5.2.3-2.2,M,0.6521336553945251,1490,200,7.45,False
5.8-1,5.2.4-1.1,M,0.6504830917874396,1490,200,7.45,False
5.4-4,5.2.2-6,M,0.6483091787439614,1490,200,7.45,False
5.11-3,5.2.2-4,M,0.6442028985507247,1490,200,7.45,False
5.3-11,5.1.2-6,M,0.643840579710145,1490,200,7.45,False
5.3-10,5.1.3-1,M,0.6394927536231884,1490,200,7.45,False
5.1-2,5.2.4-2,M,0.6386876006441223,1490,200,7.45,False
5.4-3,5.4.1-1,M,0.6384661835748793,1490,200,7.45,False
5.3-5,5.2.3-4,M,0.6375603864734299,1490,200,7.45,False
5.7-2,5.2.4-2,M,0.6366747181964573,1490,200,7.45,False
5.3-2,5.4.1-1,M,0.6359098228663446,1490,200,7.45,True
5.9-1,5.3.1-3,M,0.6342190016103061,1490,200,7.45,False
5.3-12,5.2.4-3,M,0.631159420289855,1490,200,7.45,False
5.3-2,5.1.2-6,M,0.6274154589371981,1490,200,7.45,False
5.7-1,5.1.2-6,M,0.6273752012882448,1490,200,7.45,False
5.4-4,5.2.4-3,M,0.6254428341384863,1490,200,7.45,False
5.5-2,5.1.4-1,M,0.6253623188405797,1490,200,7.45,False
5.1-1,5.2.3-2,M,0.6247584541062802,1490,200,7.45,False
5.8-3,5.2.4-1.2,M,0.6246376811594203,1490,200,7.45,False
5.7-2,5.2.2-6,M,0.6234702093397745,1490,200,7.45,False
5.2-1,5.5.1-2,M,0.622061191626409,1490,200,7.45,False
5.4-3,5.2.4-2.1,M,0.621256038647343,1490,200,7.45,False
5.13-1A,5.2.4-2,M,0.6209339774557165,1490,200,7.45,False
5.5-1,5.2.4-3,M,0.6203703703703703,1490,200,7.45,False
5.2-1,5.2.1-1,M,0.6200483091787439,1490,200,7.45,False
5.5-5,5.2.4-1.1,M,0.6192834138486313,1490,200,7.45,False
5.8-2,5.3.1-2.2,M,0.6187600644122384,1490,200,7.45,False
5.3-3,5.1.3-1.2,M,0.6179951690821256,1490,200,7.45,False
5.5-5,5.4.2-3,M,0.6176328502415459,1490,200,7.45,False
